umur,jenis_kelamin,status_ekonomi,jarak_ke_sekolah,nilai_rata2,kehadiran,akses_internet,pendidikan_ortu,jumlah_saudara,konflik_keluarga,dukungan_orangtua,dropout
12,1,2,12.91,60.35,97.91,1,1,4,2,0,1
15,1,2,15.34,53.56,61.02,1,2,4,0,1,1
13,0,1,3.62,53.45,94.31,1,0,2,2,0,1
12,0,1,9.5,97.04,96.72,1,0,3,0,1,0
18,0,1,0.68,75.35,95.82,1,0,0,0,2,0
18,1,0,5.31,70.47,81.77,0,2,0,1,1,0
17,0,0,14.67,90.54,81.49,1,0,2,0,2,0
16,1,2,19.84,91.79,70.16,1,0,2,1,0,0
14,1,1,2.43,66.61,87.62,1,0,3,2,0,1
15,0,0,8.33,84.68,76.56,0,1,4,1,2,0
17,0,1,16.1,88.56,83.87,0,2,1,2,2,0
14,0,2,4.48,82.73,71.42,0,2,4,0,2,0
14,1,0,11.32,57.58,86.57,0,2,0,2,0,1
12,0,0,14.79,93.79,91.22,0,1,2,2,0,1
14,1,0,12.51,76.95,57.32,0,2,3,0,1,1
16,0,2,4.17,64.12,91.65,1,1,4,2,2,1
18,1,1,7.43,71.26,77.01,0,1,3,0,1,0
17,1,0,15.78,51.88,92.23,0,2,4,1,0,1
14,0,2,11.31,56.39,71.57,1,0,0,0,1,0
12,1,1,0.6,88.28,68.95,0,0,1,0,1,0
16,1,2,15.34,50.0,95.75,1,2,3,2,0,1
13,0,1,1.19,70.83,62.56,1,2,3,1,0,1
18,1,2,15.04,76.13,92.21,0,1,1,0,2,0
18,0,1,4.45,52.73,74.2,1,2,3,1,1,0
17,1,0,19.18,98.65,75.7,1,1,3,1,0,1
18,0,1,7.67,61.31,65.42,1,2,4,2,0,1
14,0,2,6.88,65.21,78.65,1,0,4,0,1,0
12,1,2,3.4,65.2,66.26,0,0,1,2,0,1
18,1,1,6.46,61.52,51.96,1,2,0,0,2,1
18,1,0,17.59,50.07,63.6,0,1,3,1,2,1
13,1,0,19.93,86.47,50.32,1,0,0,0,1,1
13,1,1,7.68,98.34,98.92,1,1,1,0,2,0
15,0,1,9.25,61.21,98.29,1,2,1,1,0,1
16,1,2,14.58,83.15,69.76,0,2,4,1,0,1
14,0,0,17.78,87.09,86.42,0,0,3,0,0,1
18,0,1,12.06,92.42,67.29,0,2,2,2,0,1
18,1,0,8.13,71.13,83.55,1,0,1,0,1,0
12,0,1,8.55,65.15,90.27,1,1,3,1,2,0
15,0,1,14.06,66.26,97.34,1,0,0,2,2,0
16,0,0,0.56,85.63,70.01,1,0,4,1,0,1
15,0,1,12.58,90.84,89.16,0,1,0,1,1,0
17,1,1,7.43,59.08,63.3,1,0,1,2,0,1
16,0,2,15.99,68.55,99.52,0,0,1,1,0,0
18,1,1,2.31,95.1,51.29,1,2,0,1,1,0
18,1,1,11.97,90.33,80.18,0,1,1,1,1,0
16,0,1,9.88,99.24,82.98,0,0,3,1,0,0
18,1,2,13.03,87.71,84.4,1,1,1,1,2,0
14,1,0,1.76,69.66,56.02,1,1,4,1,0,1
16,1,2,11.81,79.53,96.93,0,0,3,1,2,0
15,0,2,11.45,83.05,59.06,1,2,2,1,2,0
16,1,0,11.43,53.92,81.14,1,1,1,1,1,1
18,1,2,12.27,77.22,61.13,0,0,1,0,1,0
14,1,0,13.69,85.47,65.36,0,1,4,0,0,1
14,0,2,16.2,58.37,77.32,0,2,4,1,2,0
17,1,0,5.76,89.03,70.86,0,2,0,0,2,0
15,0,1,16.59,79.19,58.01,1,2,0,2,0,1
13,0,2,10.22,97.61,58.55,0,0,0,0,0,1
13,0,2,2.0,52.12,70.91,0,0,4,1,0,1
16,0,2,1.64,63.27,87.86,0,2,0,1,1,0
17,0,2,7.02,80.08,94.9,1,0,0,0,0,0
12,0,1,15.81,64.83,54.21,0,2,2,1,0,1
16,1,2,14.3,85.72,69.66,1,0,0,2,2,1
17,0,1,15.88,87.95,55.01,0,2,1,2,0,1
15,1,1,10.59,55.13,50.83,0,1,4,1,2,1
15,1,1,9.08,75.69,83.09,1,2,3,2,2,0
15,0,1,3.38,75.44,80.12,0,2,2,2,1,0
15,1,0,6.9,68.46,58.15,0,0,4,0,0,1
15,1,0,8.96,96.65,61.69,1,0,4,2,0,1
17,1,2,2.23,91.38,51.19,0,0,1,0,2,0
17,1,0,4.8,84.86,91.75,0,0,0,1,1,0
14,0,0,12.17,85.72,98.73,0,0,1,0,1,0
13,1,2,14.85,73.09,56.77,0,0,0,1,0,1
18,0,2,19.97,96.05,61.57,1,1,0,1,2,0
15,1,2,18.7,84.73,93.42,0,2,4,1,0,0
12,1,0,13.03,86.45,96.32,1,2,0,1,0,1
18,0,0,8.71,93.08,70.98,0,2,2,1,0,1
17,1,2,12.91,63.7,52.53,1,1,2,0,0,1
12,1,1,15.82,90.35,51.97,0,2,2,1,2,0
12,1,2,2.81,59.76,78.7,1,1,4,2,1,1
12,0,1,8.49,67.27,69.64,0,1,1,2,0,1
14,1,1,16.88,66.78,51.43,1,1,3,1,0,1
17,0,2,7.98,98.93,79.16,1,2,0,2,0,1
12,1,2,11.65,92.83,50.57,0,1,3,0,0,1
15,0,2,11.96,85.06,89.37,1,2,1,0,1,0
16,0,0,4.1,86.35,65.32,0,2,1,1,1,1
12,1,1,7.56,78.1,52.01,0,0,4,1,1,0
14,1,0,7.02,97.35,79.42,0,0,2,1,1,0
18,0,0,1.01,74.81,69.88,0,1,2,2,0,1
17,0,2,0.97,69.03,98.69,0,1,1,2,2,0
14,1,0,16.72,58.15,77.21,1,2,4,0,1,1
12,0,2,5.82,89.31,63.76,0,1,4,2,1,1
17,1,1,10.6,86.72,85.47,0,1,0,0,0,0
16,1,2,6.33,69.22,63.57,0,2,2,2,0,1
12,1,0,18.84,51.26,95.21,0,1,1,0,0,1
14,1,0,5.56,91.95,68.74,0,1,3,1,0,1
13,0,2,8.88,50.57,77.49,0,2,2,2,2,1
15,1,2,17.52,85.18,52.53,1,2,0,0,2,0
18,0,0,16.92,98.51,71.31,1,0,4,2,1,1
14,1,1,4.13,71.88,91.62,0,2,1,1,2,0
17,0,1,16.15,61.75,90.28,1,0,2,0,1,0
12,1,2,9.43,85.24,61.22,0,1,3,2,1,1
15,0,1,9.92,90.86,61.3,0,2,0,2,2,1
12,0,0,3.1,77.32,90.87,0,2,0,1,1,0
17,1,2,2.07,98.35,96.52,0,2,2,1,0,0
12,1,0,14.69,52.58,54.77,0,1,3,0,1,1
13,1,0,10.18,75.24,72.5,1,0,0,2,0,1
15,1,1,9.02,85.92,66.87,1,1,1,2,2,1
15,0,2,14.73,93.13,93.53,1,1,0,1,2,0
17,1,2,15.43,58.96,54.18,1,2,3,1,1,1
18,0,1,3.6,90.0,60.56,0,0,4,0,0,1
13,0,0,12.4,77.64,87.62,1,1,4,2,1,1
14,1,0,3.14,69.83,52.56,0,2,2,2,2,1
12,0,0,15.15,56.59,74.63,1,1,3,0,1,1
16,0,0,13.31,93.26,72.11,1,1,0,0,1,0
12,0,2,19.15,57.86,66.72,1,2,0,1,0,1
12,0,2,1.84,65.49,69.73,1,2,4,1,2,0
14,1,1,1.61,64.5,76.5,0,0,4,0,1,0
12,1,1,6.0,93.57,58.07,1,1,1,0,0,1
13,1,2,5.6,83.64,78.6,1,2,4,2,1,0
13,1,2,5.32,89.83,90.27,0,2,1,0,0,0
15,0,0,18.17,62.52,88.01,0,0,0,0,0,1
17,0,0,5.37,81.24,57.69,1,0,1,2,1,1
18,1,1,5.8,78.59,57.46,0,2,1,0,2,0
16,1,2,15.31,91.64,63.41,0,0,2,1,2,0
12,1,1,9.27,95.3,68.05,0,2,4,1,0,1
12,0,2,15.65,50.61,70.42,1,1,1,2,2,1
14,1,0,1.77,83.7,83.98,0,0,0,0,0,1
17,1,1,10.01,52.59,52.83,1,1,3,1,2,1
13,1,1,1.16,77.44,51.73,1,1,1,1,1,0
16,0,2,1.72,64.38,69.6,1,1,4,1,2,1
15,0,0,18.18,65.34,84.86,1,2,2,1,0,1
13,0,1,3.22,67.65,59.67,0,1,0,0,0,1
17,0,0,10.88,81.06,82.08,1,1,2,0,2,0
18,0,1,8.52,66.7,62.99,0,1,3,0,1,0
15,0,0,7.27,86.63,94.3,1,2,1,0,0,1
18,0,2,18.05,70.23,94.78,0,1,1,1,0,0
14,0,1,0.93,53.42,64.86,1,1,4,2,0,1
14,1,1,13.44,89.19,61.5,0,0,1,2,0,1
12,1,0,19.29,64.29,70.57,1,2,0,1,0,1
18,0,0,11.42,71.64,62.03,1,1,3,1,1,1
17,0,1,18.77,84.27,83.62,0,0,2,2,2,0
16,1,2,1.52,66.62,91.3,1,2,3,2,1,0
15,0,0,8.67,52.83,83.65,1,2,1,1,1,1
13,0,0,5.57,68.7,91.22,1,2,2,1,0,1
17,0,0,14.75,97.22,69.85,0,2,4,0,1,1
17,1,1,19.64,82.09,57.82,1,2,3,0,0,1
14,1,1,5.5,83.57,86.9,1,2,2,2,1,0
18,1,1,13.26,81.61,68.02,0,1,2,1,0,1
12,1,1,4.36,59.95,83.56,0,1,2,2,0,1
12,1,2,11.52,70.92,63.53,0,1,0,0,1,0
15,0,2,9.55,87.55,54.06,0,1,3,0,1,0
14,1,1,19.45,55.07,99.63,0,0,2,2,2,1
17,0,2,12.37,63.89,57.81,1,1,3,0,2,1
16,0,0,7.32,63.82,99.42,1,2,2,1,2,1
14,1,0,2.72,71.6,98.86,1,1,4,2,1,1
15,1,0,3.45,99.02,89.69,0,1,4,1,1,0
15,0,1,4.89,53.38,82.97,1,2,4,1,0,1
14,0,0,5.39,75.94,78.89,0,1,1,0,2,0
15,0,2,17.09,58.97,93.31,0,1,2,1,0,1
14,1,1,11.44,98.53,64.47,1,1,1,2,0,1
13,1,2,10.71,55.67,73.38,0,0,3,1,0,1
14,1,0,2.74,70.18,80.97,0,1,1,1,0,1
18,1,0,17.27,86.89,70.56,1,2,3,1,2,0
14,1,0,14.59,85.23,71.37,0,2,3,1,0,1
15,0,1,1.82,71.14,66.51,0,1,3,1,1,0
18,1,2,14.3,67.33,78.21,1,1,1,0,1,0
15,0,1,11.1,69.88,92.53,0,1,2,2,1,0
12,0,1,2.09,63.21,60.08,0,2,1,0,2,1
12,0,0,9.44,60.27,96.72,1,2,2,2,0,1
18,1,1,9.95,74.15,84.45,1,0,2,2,2,0
13,1,1,3.73,63.43,91.16,1,0,3,2,0,1
12,1,0,18.94,64.37,77.81,1,0,1,2,2,1
14,0,1,17.07,82.84,88.98,0,2,2,2,2,0
15,0,0,13.55,98.43,50.81,0,0,4,1,0,1
12,0,0,9.51,80.18,90.92,1,1,2,0,2,0
12,0,0,8.53,53.85,52.01,0,1,4,0,0,1
13,0,0,13.19,53.78,94.5,0,2,1,1,1,1
18,0,1,11.14,97.57,99.6,1,0,1,2,1,0
18,1,0,1.71,64.86,64.7,1,1,1,0,1,1
17,1,0,10.49,54.6,60.52,0,2,2,1,2,1
13,1,1,16.22,79.95,88.27,1,0,0,1,1,0
14,1,1,9.46,81.18,62.65,1,1,2,0,0,1
18,0,2,1.51,82.43,93.28,1,0,2,0,1,0
15,0,1,15.83,63.37,55.14,0,2,3,2,1,1
13,1,1,4.43,50.76,56.3,1,0,3,2,2,1
12,0,2,5.54,98.25,98.96,0,2,2,0,0,0
15,1,1,3.71,62.54,83.69,0,0,4,2,2,1
15,1,1,6.94,83.8,92.34,0,1,3,1,2,0
12,1,1,15.26,85.33,66.22,1,2,2,2,0,1
13,0,1,10.63,80.5,83.82,1,2,0,2,2,0
12,1,2,4.5,65.65,79.71,1,2,4,1,0,0
17,1,1,17.62,63.55,80.16,1,0,1,2,1,1
15,1,1,17.65,79.88,84.13,1,0,2,1,0,0
16,0,2,17.48,93.3,78.77,0,1,2,2,0,1
16,0,0,5.16,97.34,71.45,0,2,4,0,0,1
14,1,2,9.3,55.3,63.8,0,2,3,2,2,1
18,0,0,19.71,57.74,88.43,1,0,3,0,0,1
12,0,2,15.55,97.24,61.31,0,0,3,0,0,1
12,0,2,1.03,86.83,84.62,0,1,1,0,0,0
14,0,1,1.77,94.15,61.67,1,1,4,0,1,0
14,0,0,9.55,60.13,81.27,1,0,4,0,0,1
14,0,1,18.23,79.38,87.35,0,2,3,1,2,0
15,0,0,11.0,85.06,60.94,0,1,3,1,0,1
17,0,2,10.21,84.01,53.0,1,0,0,1,0,1
12,0,2,2.56,70.41,56.55,1,0,0,0,1,0
15,0,0,13.31,50.77,80.3,1,2,2,2,0,1
14,1,1,16.53,79.15,92.47,1,0,2,1,2,0
12,1,1,7.92,62.66,52.25,0,0,4,2,0,1
15,0,1,15.62,72.51,86.71,0,1,4,2,2,0
17,1,1,19.31,97.88,67.07,1,0,1,0,1,0
15,1,2,4.47,69.95,73.93,0,0,1,0,0,0
17,0,2,10.7,91.99,96.44,0,1,0,0,1,0
14,0,2,6.1,59.43,66.6,1,2,2,1,0,1
17,0,2,15.96,83.62,73.27,0,2,0,0,2,0
12,1,2,11.76,98.85,50.68,0,1,0,1,1,0
14,1,1,12.87,55.09,54.08,0,1,2,1,0,1
12,0,1,16.06,50.42,62.93,1,2,1,1,2,1
16,0,1,8.22,71.68,51.39,1,2,2,1,1,0
13,0,1,18.34,54.63,81.57,0,2,3,0,0,1
17,1,2,10.89,87.42,71.32,1,2,3,1,1,0
13,1,2,3.58,95.73,77.41,1,2,3,0,0,0
13,1,2,14.07,71.7,58.73,1,1,4,0,2,0
17,1,0,15.97,62.94,64.8,0,0,1,1,2,1
14,0,1,6.68,71.72,83.19,0,2,1,0,1,0
16,0,1,17.21,86.17,98.27,1,2,4,2,1,0
12,0,2,18.17,50.45,52.52,0,0,0,0,0,1
15,0,1,5.9,79.47,94.52,0,0,3,0,2,0
12,1,1,19.68,80.66,78.84,0,0,3,1,0,0
15,1,2,3.24,81.88,78.2,0,0,0,1,2,0
12,0,0,4.44,62.1,75.01,0,0,2,0,1,1
17,0,0,4.09,85.7,53.47,1,0,2,1,0,1
16,1,0,17.93,54.57,54.49,0,1,1,2,0,1
15,0,2,13.26,59.96,80.05,0,0,4,2,2,1
18,1,1,3.47,93.87,67.05,0,0,1,1,2,0
14,0,2,9.09,86.94,95.86,1,1,2,0,2,0
12,0,2,12.5,50.69,70.33,1,0,0,2,1,1
12,0,1,2.13,62.42,57.16,1,2,1,2,0,1
15,0,0,17.71,60.72,85.74,0,2,3,0,2,1
14,0,0,16.17,63.54,64.67,1,0,3,1,1,1
14,0,2,10.35,62.38,76.27,1,1,0,2,2,1
17,0,0,19.36,53.13,84.89,1,2,2,0,0,1
18,1,2,8.65,72.95,95.01,1,1,3,0,2,0
17,1,2,19.69,86.64,89.61,0,2,3,2,0,1
17,1,1,13.52,80.34,83.82,1,0,4,1,1,0
17,1,1,12.88,83.64,83.98,1,1,1,2,1,0
17,1,1,3.74,54.06,97.3,0,1,2,0,2,0
17,0,2,17.7,97.57,64.79,0,1,1,2,0,1
16,0,1,8.84,91.92,50.06,1,2,2,1,0,1
14,1,0,3.66,90.25,63.6,0,2,3,0,0,1
17,0,0,0.75,91.15,60.89,1,2,4,1,2,1
14,1,2,11.42,96.64,83.09,0,0,1,2,0,1
14,1,2,10.78,77.21,81.69,0,2,3,2,0,1
13,0,1,14.53,60.01,79.67,1,0,2,1,0,1
16,0,2,17.86,80.84,50.81,0,1,1,2,0,1
17,0,2,2.05,87.14,86.44,1,1,1,1,2,0
12,1,0,14.76,86.9,66.18,0,0,3,2,2,1
15,0,0,4.15,76.07,83.25,1,2,1,1,0,1
18,1,1,17.23,53.42,77.83,0,0,4,1,0,1
12,1,2,16.47,68.56,67.14,0,1,4,0,1,0
16,1,2,11.05,96.04,56.73,0,1,3,0,1,0
15,0,0,14.35,79.22,54.72,0,0,2,1,0,1
16,0,2,6.63,76.92,91.58,0,2,3,2,0,1
14,1,0,9.69,63.44,95.92,1,2,4,2,1,1
15,0,1,16.52,68.42,82.49,0,0,0,2,1,0
14,0,0,9.46,94.77,55.17,1,0,0,1,0,1
12,0,2,7.48,83.32,70.1,1,2,1,1,2,0
12,1,1,10.14,89.37,86.45,1,1,1,1,2,0
15,1,0,16.65,72.72,88.99,0,0,0,1,0,1
15,0,0,7.04,81.51,55.91,1,2,4,0,0,1
17,1,1,3.89,62.42,50.0,0,2,1,1,1,1
16,0,1,14.38,85.27,85.61,1,1,3,2,1,0
17,0,0,16.61,71.38,67.83,1,1,3,0,2,1
16,0,2,2.46,72.13,62.72,1,1,4,2,0,1
17,0,0,5.18,82.47,50.64,1,1,1,1,1,1
14,1,1,3.27,96.81,77.01,1,1,3,0,2,0
15,1,0,7.28,53.2,92.56,0,0,1,1,2,1
12,1,1,9.28,91.24,97.88,1,2,1,0,2,0
16,0,1,15.1,64.62,78.29,1,0,3,2,1,1
16,0,2,13.2,72.2,75.72,0,0,0,1,1,0
12,0,1,12.61,51.1,54.25,0,0,3,1,0,1
17,1,1,7.37,65.05,77.44,0,0,4,0,0,0
16,0,2,16.91,75.13,69.0,1,0,2,0,2,0
18,1,1,9.69,52.81,80.36,1,1,3,1,2,0
14,1,2,19.59,74.55,69.44,1,1,1,0,1,0
15,1,2,12.87,96.36,62.01,1,2,1,1,1,0
12,1,1,2.96,55.27,54.75,1,0,3,0,0,1
15,1,1,13.69,88.22,65.75,1,2,2,2,0,1
18,1,0,6.84,70.48,54.83,0,1,3,0,0,1
16,0,2,13.88,82.76,58.84,0,1,2,2,1,1
16,0,0,1.86,63.01,99.37,1,1,2,0,2,1
18,1,1,3.91,57.97,72.21,1,0,4,0,0,1
12,1,0,17.19,58.02,76.59,1,0,1,1,0,1
14,0,2,4.93,53.52,93.68,1,1,1,0,1,0
13,1,0,16.82,59.28,99.78,1,2,2,0,0,1
12,1,2,5.95,83.21,79.14,0,2,1,2,2,0
13,0,1,13.04,94.08,90.62,0,1,0,0,1,0
18,1,1,14.04,90.71,66.35,1,2,2,1,0,1
17,1,2,10.5,84.26,65.29,0,1,1,2,0,1
13,1,1,6.45,55.52,70.14,1,2,0,1,1,0
14,0,1,4.65,64.46,83.63,1,1,4,1,1,0
17,0,1,1.15,65.49,84.11,1,2,1,1,0,0
13,0,1,6.43,62.5,65.76,0,0,0,1,2,1
18,1,2,13.24,75.75,56.66,0,1,3,2,1,1
17,1,0,18.8,76.78,81.62,1,1,3,0,2,0
18,0,0,17.49,67.84,56.42,0,2,0,1,0,1
13,1,1,15.44,67.69,78.92,0,1,2,2,2,0
18,1,0,15.87,91.43,84.67,1,1,2,1,0,1
14,1,0,13.47,89.46,85.03,0,1,1,0,0,1
13,1,1,5.58,65.39,87.67,0,0,3,2,0,1
13,1,1,18.19,95.69,93.64,1,0,2,2,0,1
13,0,0,13.58,97.64,75.0,1,2,2,0,2,0
12,1,2,11.43,66.34,86.51,0,0,3,2,0,1
12,0,1,2.66,67.72,80.96,1,2,4,0,0,0
12,1,2,9.22,75.28,59.33,0,0,2,2,2,1
14,0,0,9.48,97.06,51.28,1,2,0,2,1,1
17,1,1,17.36,93.82,64.23,1,0,1,0,2,0
18,0,2,11.16,55.13,72.15,1,0,2,0,2,0
16,1,1,7.92,69.64,80.86,1,2,2,2,2,0
13,0,0,19.55,77.67,92.5,0,1,4,2,0,1
